led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
409.5;27522.8;43988.2;30402.4;32607.4;26012.4;36214.0;27830.4;34660.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
819.0;22852.6;25223.0;25554.0;23335.6;21562.4;23962.2;23507.2;24475.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1228.5;18182.2;20688.0;20575.6;19021.2;17188.6;19751.8;18763.4;19860.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1638.0;14178.4;16630.4;16164.0;15203.2;13441.8;15849.6;14668.8;16023.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2047.5;10462.0;12418.6;12106.2;11261.2;9881.6;11667.6;11210.0;11850.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2457.0;7509.8;9257.0;8854.2;8407.2;7090.6;8641.0;8184.2;8797.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2866.5;5201.0;6658.6;6213.6;5973.0;5003.4;6168.6;5807.6;6261.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
3276.0;3389.6;4669.6;4086.4;4206.0;3312.0;4339.6;4000.8;4362.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
3685.5;2401.8;3466.2;2965.6;3132.2;2402.0;3228.6;2976.8;3190.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
4095.0;2008.4;3019.0;2551.2;2736.6;2050.2;2808.0;2601.2;2772.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
