led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
40.95;59022.2;64495.8;62632.0;63467.8;58855.6;63814.6;62953.2;64108.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
81.9;48762.6;62234.4;57200.8;59913.0;47830.0;60583.8;58515.0;61268.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
122.85000000000001;38676.2;59967.6;51728.4;56375.0;37030.4;57421.6;54019.0;58418.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
163.8;31576.0;57663.2;46507.2;52657.4;29713.2;54244.8;49723.8;55545.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
204.75;30406.8;55336.6;40809.8;49244.2;28529.8;51037.6;45245.0;52726.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
245.70000000000002;30453.2;53141.6;36106.0;45844.8;28584.4;47981.4;41289.0;49983.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
286.65000000000003;29503.0;50897.0;32447.4;42350.6;27769.8;45040.2;36729.0;47252.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
327.6;29560.0;48666.8;32181.6;38593.4;27888.4;41854.4;33133.6;44422.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
368.55;28500.4;46309.2;31268.2;35377.6;26678.6;38664.6;29267.6;41554.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
409.5;27994.6;44016.4;30787.6;32098.0;26344.8;35706.0;28131.0;38789.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
450.45000000000005;27963.8;41988.0;30586.4;29298.4;26069.6;32777.0;28019.8;36151.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
491.40000000000003;27490.6;40001.4;29893.0;27922.8;25793.8;30128.4;27677.6;33703.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
532.35;26211.8;37339.8;28758.8;26857.6;24680.6;27852.8;26512.2;30651.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
573.3000000000001;26294.4;35400.2;28918.8;26580.8;24792.0;27451.4;26491.0;28530.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
614.25;25839.0;33102.6;28556.8;25991.8;23993.6;26483.4;26154.0;27450.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
655.2;25719.4;33325.2;28397.0;26265.0;23929.2;26897.2;25921.8;27756.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
696.1500000000001;24772.8;29180.0;27509.4;25222.8;23193.0;25889.8;25023.2;26624.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
737.1;24253.0;27322.8;26641.0;24638.4;22723.2;25378.2;24553.8;26111.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
778.0500000000001;24014.6;26620.4;26399.8;24547.8;22448.4;25218.0;24373.4;26049.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
819.0;23502.8;25829.2;26022.0;23970.6;21981.8;24586.2;23659.6;25267.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
859.95;22908.6;25137.8;25321.0;23342.8;21407.2;23964.0;23313.0;24835.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
900.9000000000001;22205.8;24761.0;24472.6;23033.8;20789.8;23742.4;22471.0;24371.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
941.85;21730.8;24245.2;24023.0;22542.6;20342.2;23255.2;22022.6;23895.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
982.8000000000001;21357.2;23950.0;23686.0;22321.0;20053.4;22990.6;21741.6;23723.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1023.7500000000001;20891.4;23303.8;23018.8;21519.8;19623.2;22330.2;21079.4;22800.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1064.7;20602.4;23041.0;22938.2;21419.0;19305.0;21999.0;20971.0;22674.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1105.65;20182.4;22396.2;22448.6;20747.4;18976.6;21436.8;20475.8;21967.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1146.6000000000001;19604.8;22007.6;21874.8;20274.2;18349.6;20948.0;20029.0;21684.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
