Log;Description
log_14-04-23_08:49:48;Dia 1
log_17-04-23_08:07:56;Dia 2, interrompida
log_17-04-23_13:49:16;Dia 2, dando continuidade
log_17-04-23_mesclado;Dia 2, ambas partes juntadas
log_18-04-23_08:38:09;Dia 3, interrompida
log_18-04-23_15:24:48;Dia 3, dando continuidade
log_18-04-23_mesclado;Dia 3, ambas partes juntadas
log_19-04-23_09:14:40;Dia 4
