led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
3030.0;9756.0;5173.8;5350.8;6261.0;5667.0;5461.6;17485.4;5410.6;65506.4;65507.4;65508.0;65507.0;65503.2;65506.6;65506.8;65508.4
3112.0;8990.2;4622.6;4889.4;6088.4;5431.4;5156.8;16474.0;5059.0;65505.8;65505.6;65506.6;65505.4;65504.8;65506.6;65507.0;65506.0
3194.0;8642.2;4348.2;4548.0;5385.0;4872.8;4736.0;16189.0;4880.4;65508.2;65508.0;65507.0;65506.8;65509.6;65506.6;65508.8;65510.0
3276.0;7952.4;3952.0;4351.8;5152.6;4594.4;4481.6;14470.0;4448.0;65508.6;65506.6;65507.8;65506.0;65506.0;65507.0;65508.2;65507.4
3358.0;7634.8;3665.0;3920.0;4632.0;4195.0;4119.0;14014.6;4288.4;65508.0;65510.0;65509.2;65505.4;65509.2;65509.8;65508.2;65508.2
3440.0;7109.0;3572.2;3781.0;4383.2;3908.0;3858.0;12559.6;3921.4;65508.4;65507.6;65508.4;65507.0;65505.0;65504.0;65508.6;65507.0
3522.0;6681.0;3185.0;3434.8;4015.2;3807.2;3721.8;11843.6;3741.4;65508.0;65506.2;65508.6;65508.0;65508.4;65507.6;65505.4;65510.0
3604.0;6546.6;3071.0;3263.6;3820.0;3418.0;3415.0;10647.8;3504.6;65508.2;65510.2;65508.0;65503.0;65509.6;65511.0;65507.6;65508.4
3686.0;5971.0;2822.4;3056.0;3549.4;3314.8;3316.8;10065.4;3342.0;65509.8;65508.8;65508.4;65505.2;65508.0;65507.8;65508.0;65508.0
3767.0;5961.0;2723.2;2921.0;3375.0;3079.6;3096.4;9224.6;3295.8;65509.0;65508.0;65509.0;65508.0;65508.8;65509.0;65508.2;65509.0
3849.0;5587.6;2591.4;2882.4;3305.0;2981.2;3007.6;8439.0;3089.0;65509.2;65507.4;65509.4;65508.4;65509.6;65508.0;65510.0;65509.6
3931.0;5619.6;2530.6;2728.0;3148.0;2866.6;2902.2;8820.0;3055.8;65508.0;65509.0;65506.4;65506.0;65509.0;65506.6;65508.8;65509.6
4013.0;5586.4;2464.4;2704.0;3122.2;2823.4;2853.0;7855.0;2969.8;65507.2;65507.2;65507.2;65506.8;65509.0;65508.0;65510.6;65507.2
4095.0;5966.0;2449.0;2658.8;3048.2;2786.6;2847.2;8753.6;2951.4;65509.0;65505.0;65507.4;65506.4;65506.4;65506.6;65508.2;65508.0
