led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;2118.8;2122.8;2112.2;2125.6;2119.6;2126.0;2118.2;2119.8;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
409.5;2119.2;2123.4;2113.2;2124.8;2119.6;2126.8;2119.0;2121.8;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
819.0;2118.4;2121.6;2112.0;2124.6;2117.8;2125.6;2117.6;2120.4;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1228.5;2118.2;2122.0;2110.8;2124.4;2119.2;2125.2;2116.6;2119.6;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
1638.0;2118.2;2122.4;2111.2;2124.0;2117.8;2124.8;2117.0;2120.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2047.5;2118.8;2120.6;2110.2;2124.4;2117.2;2124.6;2117.0;2119.2;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2457.0;2118.6;2121.4;2111.2;2123.6;2118.0;2124.8;2116.8;2120.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
2866.5;2117.2;2121.2;2109.6;2123.4;2118.0;2123.6;2116.2;2118.4;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3276.0;2118.2;2120.6;2110.0;2123.4;2117.4;2124.4;2116.8;2119.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
3685.5;2118.2;2120.6;2110.8;2123.4;2116.4;2124.4;2116.2;2120.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
4095.0;2116.4;2120.2;2108.4;2122.4;2117.2;2123.0;2115.6;2119.6;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0;4095.0
