1681906485.0993326,od_135b,65498,65495,1807,53814,65498,65496,1616,33060,65499,65498,48761,42012,65497,65496,2968,31313
1681906488.2208297,od_135b,65498,65495,1807,53810,65495,65497,1616,33060,65499,65498,48761,42012,65497,65496,2968,31313
1681906500.2906177,od_135b,65495,65498,1816,53854,65497,65499,1468,33199,65495,65494,51562,44047,65496,65497,2275,27079
1681906512.3585637,od_135b,65495,65496,1842,53840,65495,65494,1602,33196,65498,65499,52572,41655,65494,65495,2289,27409
1681906524.4264088,od_135b,65496,65499,1943,53770,65498,65497,1417,33044,65497,65500,52624,43284,65494,65497,2159,27050
1681906536.4982672,od_135b,65500,65493,1806,53730,65496,65497,1451,33166,65494,65497,51947,44457,65500,65498,2112,29789
1681906548.5680285,od_135b,65493,65495,1781,53687,65497,65497,1615,33097,65498,65496,51294,41226,65495,65495,2330,28585
1681906560.720688,od_135b,65497,65495,1835,53622,65497,65497,1491,33214,65497,65498,52294,43889,65498,65497,2103,26798
1681906572.7968004,od_135b,65503,65497,2001,53528,65496,65495,1490,33084,65498,65499,50527,41075,65495,65494,2203,29165
1681906584.8643222,od_135b,65499,65498,1851,53520,65496,65494,1435,33030,65501,65500,50228,35974,65499,65500,2217,28183
1681906596.9296381,od_135b,65498,65498,1842,53459,65499,65498,1419,32937,65496,65499,50708,42877,65497,65496,2098,24924
1681906608.9934063,od_135b,65495,65498,1799,53497,65499,65501,1506,32949,65499,65497,49351,36337,65500,65503,2123,27700
1681906621.0628638,od_135b,65498,65496,1948,53452,65499,65499,1506,32908,65495,65496,48708,42969,65493,65495,2117,28754
1681906633.1284657,od_135b,65499,65500,1741,53387,65498,65498,1457,32858,65499,65502,49612,41949,65497,65496,1972,29871
1681906645.2197366,od_135b,65498,65499,1796,53338,65498,65499,1683,32866,65495,65496,48877,40572,65498,65493,2036,25173
1681906657.2868915,od_135b,65501,65499,1777,53325,65496,65497,1512,32799,65498,65497,50912,45108,65493,65495,1987,27135
1681906669.354413,od_135b,65498,65494,2028,53216,65496,65497,1446,32706,65498,65496,48090,43595,65498,65498,2065,25917
1681906681.4219048,od_135b,65500,65501,1817,53159,65499,65498,1563,32634,65504,65499,51773,44152,65499,65501,2158,27764
1681906693.4911053,od_135b,65500,65501,1702,53050,65497,65497,1452,32535,65496,65499,50923,41543,65500,65502,1941,24970
1681906705.558423,od_135b,65500,65500,1853,52930,65501,65503,1477,32483,65500,65500,52256,44372,65502,65501,2080,27729
1681906717.636977,od_135b,65497,65498,1962,52889,65503,65504,1525,32487,65499,65500,49646,38672,65500,65495,2095,25111
1681906729.7181442,od_135b,65499,65499,1846,52699,65501,65499,1570,32259,65497,65497,50513,42943,65498,65495,1964,26094
1681906741.7823424,od_135b,65501,65501,1891,52779,65500,65499,1475,32286,65503,65506,51036,40676,65502,65501,1971,24905
1681906753.8497207,od_135b,65499,65498,1734,52654,65498,65504,1664,32247,65495,65498,50650,42214,65501,65503,1950,24673
1681906765.9168637,od_135b,65499,65497,1975,52559,65497,65498,1541,32099,65503,65500,49791,42147,65499,65498,1982,23850
1681906777.988174,od_135b,65502,65501,1924,52548,65497,65499,1542,32100,65500,65501,50449,41953,65502,65500,2054,22405
1681906790.054602,od_135b,65501,65501,1848,52447,65500,65500,1587,32009,65500,65500,49975,46368,65501,65504,1928,24960
1681906802.1153264,od_135b,65501,65501,1808,52372,65498,65501,1545,31997,65499,65499,50963,47175,65502,65500,1973,23723
1681906814.220223,od_135b,65500,65501,1819,52395,65502,65501,1524,31978,65502,65499,52495,50435,65500,65498,2065,24549
1681906826.284278,od_135b,65502,65504,1863,52383,65502,65501,1507,31992,65498,65501,51781,42987,65504,65500,2094,24917
1681906838.3693268,od_135b,65500,65501,1766,52356,65500,65504,1519,31915,65502,65501,50582,39306,65506,65502,2025,24925
1681906850.4413612,od_135b,65500,65503,1809,52242,65502,65501,1594,31863,65498,65495,49896,32768,65503,65502,1976,25017
1681906862.5085473,od_135b,65504,65501,1841,52456,65500,65497,1541,32234,65502,65505,50873,45432,65503,65501,1920,22002
1681906874.5797768,od_135b,65503,65504,1859,52314,65501,65503,1609,32009,65503,65501,49366,33071,65502,65501,1985,23648
1681906886.6446455,od_135b,65501,65501,1870,52278,65501,65504,1592,32122,65499,65501,50217,46875,65498,65503,1897,25686
1681906898.7185004,od_135b,65502,65499,1852,51979,65502,65502,1517,31705,65502,65503,48455,42513,65500,65502,1802,20636
1681906910.7927551,od_135b,65501,65502,1799,52178,65500,65505,1315,31757,65503,65500,47771,39583,65502,65503,1965,28042
