1684973951.017004,stire,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1684973952.0360272,tempe,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
1684973952.0360272,tempb,4095,4095,1856,1881,4095,4095,1852,1842,4095,4095,1837,1853,4095,4095,1856,1856
1684973953.088026,od_lede,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560
1684973954.1161587,od_135e,1000
1684973954.1161587,od_135b,65520,65520,10400,6936,65520,65520,7655,6793,65520,65520,7107,10279,65520,65520,9949,7340
1684973955.1527054,pumpe,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10,1|10
1684982647.6206608,stire,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1684982648.6663508,tempe,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
1684982648.6663508,tempb,4095,4095,1501,1500,4095,4095,1499,1498,4095,4095,1500,1497,4095,4095,1500,1502
1684991340.9103127,stire,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1684991341.9294353,tempe,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
1684991341.9294353,tempb,4095,4095,1899,1899,4095,4095,1898,1900,4095,4095,1900,1902,4095,4095,1899,1901
1684991343.1112163,pumpe,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11,10|11
1685000035.596386,stire,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1685000036.6143577,tempe,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
1685000036.6143577,tempb,4095,4095,1308,1328,4095,4095,1248,1235,4095,4095,1308,1334,4095,4095,1313,1360
