led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
409.5;26997.0;43493.8;29964.4;52176.8;41537.4;41510.4;27498.0;33760.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
819.0;24176.6;28567.4;24942.0;23002.0;21066.0;23743.0;22858.6;29878.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1228.5;17925.0;20287.0;20267.8;18689.2;19420.6;21089.0;19397.8;20409.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1638.0;16340.6;18634.6;16821.4;15535.6;13182.0;15285.0;14574.0;15436.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2047.5;10438.0;12425.0;12107.0;11259.0;9901.2;13842.0;12485.2;13248.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2457.0;7485.0;9214.2;10785.6;9492.0;7705.2;8607.0;8136.0;8663.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2866.5;5574.6;7124.6;6104.0;5912.0;4940.0;6124.4;7180.4;7153.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
3276.0;3388.0;4643.8;4139.2;5218.0;3998.0;4661.2;4013.0;4290.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
3685.5;2790.8;3698.2;2976.0;3136.0;2422.4;3219.4;2993.4;3849.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
4095.0;2010.0;3038.0;2810.8;2912.6;2136.8;2901.8;2615.0;2784.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
