time;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;4508.0;3520.0;3075.0;2547.0;2094.0;2273.0;3868.0;3244.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2.0612926483154297;4598.0;3542.0;3110.0;2409.0;2182.0;2323.0;3894.0;3236.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
4.121875047683716;4652.0;3545.0;3088.0;2596.0;2289.0;2240.0;3856.0;3244.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
6.181172132492065;4748.0;3569.0;3115.0;2628.0;2344.0;2392.0;3891.0;3256.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
8.246632814407349;4843.0;3553.0;3102.0;2627.0;2350.0;2452.0;3883.0;3249.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
10.305708885192871;4774.0;3568.0;3110.0;2801.0;2323.0;2451.0;3924.0;3259.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
12.368205308914185;4915.0;3584.0;3100.0;3108.0;2252.0;2270.0;3921.0;3232.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
14.426965713500977;4907.0;3574.0;3118.0;3113.0;2342.0;2401.0;3920.0;3275.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
16.48760676383972;4958.0;3592.0;3137.0;3129.0;2374.0;2353.0;3912.0;3256.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
18.55044412612915;4908.0;3596.0;3139.0;3104.0;2444.0;2481.0;3955.0;3244.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
20.610708236694336;4913.0;3595.0;3116.0;3108.0;2324.0;2350.0;3921.0;3246.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
22.761986017227173;5048.0;3585.0;3118.0;3096.0;2302.0;2304.0;3947.0;3259.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
24.82220697402954;4950.0;3595.0;3124.0;3108.0;2292.0;2174.0;3947.0;3270.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
