time;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;2307.0;1752.0;2779.0;2550.0;2432.0;2379.0;1953.0;2108.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
1.0320255756378174;2459.0;1942.0;2667.0;2324.0;2052.0;2000.0;1561.0;2182.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
2.0619752407073975;2862.0;2235.0;2648.0;2619.0;2155.0;2380.0;2318.0;1772.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
3.0920424461364746;2262.0;2750.0;2214.0;2412.0;2137.0;2622.0;1721.0;2227.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
4.128926515579224;2288.0;1988.0;2443.0;2284.0;2380.0;2236.0;2014.0;2784.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
5.159295558929443;2174.0;1809.0;1844.0;2155.0;2300.0;1793.0;1835.0;2080.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
6.189254522323608;2404.0;2118.0;2552.0;2483.0;2172.0;2393.0;2168.0;1768.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
7.219811677932739;2728.0;2206.0;2228.0;2116.0;1796.0;2254.0;1913.0;1806.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
8.253749132156372;2176.0;1712.0;2201.0;2600.0;1899.0;2539.0;2172.0;2724.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
9.29400634765625;1915.0;2230.0;1992.0;2060.0;1940.0;2176.0;1896.0;2662.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
10.32471489906311;2353.0;2296.0;1902.0;2556.0;2668.0;1750.0;2363.0;2254.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
11.354215621948242;2464.0;2832.0;2022.0;2209.0;1756.0;2728.0;1924.0;2014.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
12.426208019256592;2416.0;2300.0;2163.0;2216.0;2176.0;1993.0;2252.0;2195.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
13.466404676437378;2654.0;1964.0;1859.0;2467.0;2488.0;1910.0;2278.0;2232.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
14.500568628311157;2142.0;2024.0;1782.0;2595.0;1707.0;2377.0;2185.0;1910.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
15.556684494018555;1969.0;1856.0;2076.0;2750.0;2108.0;2723.0;2204.0;2012.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
16.6138653755188;2673.0;2216.0;2083.0;2548.0;2196.0;1913.0;2121.0;1976.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
17.65995693206787;2568.0;1849.0;2788.0;2505.0;1900.0;2820.0;2283.0;1835.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
