Log;Description
log_30-06-23_11:14:40;SS1 = 0.25, SS2 = 0.44,
log_30-06-23_11:16:37;
log_30-06-23_11:07:33;
log_30-06-23_11:08:36;
log_30-06-23_11:33:59;
log_30-06-23_11:28:12;
log_30-06-23_11:05:28;
log_30-06-23_11:06:51;
log_30-06-23_11:12:40;
log_30-06-23_11:24:33;
log_30-06-23_11:22:13;
log_30-06-23_11:32:16;
log_30-06-23_11:04:59;

log_30-06-23_11:18:56;
log_30-06-23_11:10:46;
log_30-06-23_11:30:37;
log_30-06-23_11:21:25;
log_30-06-23_11:26:22;
