led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
3030.0;2095.6;2060.2;2092.2;2084.4;2271.0;2079.6;2076.2;2049.0;4076.6;4077.2;4077.8;4077.6;4078.4;4077.2;4076.2;4077.6
3112.0;2095.0;2058.4;2093.4;2084.4;2264.4;2079.2;2075.6;2047.4;4076.4;4077.2;4077.2;4076.8;4076.8;4077.8;4076.4;4077.2
3194.0;2094.8;2057.4;2092.4;2084.4;2261.4;2079.6;2075.8;2046.4;4077.2;4077.6;4077.0;4077.6;4077.0;4077.0;4076.8;4077.8
3276.0;2093.0;2055.0;2092.4;2083.8;2258.0;2079.0;2075.8;2044.4;4077.0;4077.0;4076.4;4077.8;4076.2;4078.0;4077.0;4076.4
3358.0;2093.4;2054.0;2092.0;2083.4;2256.6;2079.4;2075.2;2042.2;4076.8;4077.8;4076.2;4077.2;4076.2;4076.8;4076.8;4077.0
3440.0;2093.0;2051.6;2091.2;2083.0;2255.6;2079.4;2075.0;2040.6;4077.0;4076.4;4077.2;4076.4;4077.0;4076.6;4077.4;4076.4
3522.0;2093.0;2050.6;2090.4;2083.2;2255.4;2079.4;2075.0;2038.0;4077.2;4076.4;4077.0;4076.8;4076.4;4076.4;4076.6;4077.4
3604.0;2092.8;2049.0;2090.6;2082.8;2252.4;2079.4;2075.0;2036.4;4078.4;4077.8;4076.8;4077.0;4077.2;4077.0;4076.4;4077.0
3686.0;2092.0;2046.6;2091.0;2082.8;2248.6;2079.2;2074.2;2034.2;4077.4;4078.2;4076.0;4077.0;4077.8;4077.2;4077.2;4077.8
3767.0;2092.6;2045.2;2090.2;2081.8;2248.4;2079.0;2073.8;2032.2;4076.2;4077.2;4076.6;4077.0;4076.4;4076.6;4076.8;4077.4
3849.0;2091.4;2042.8;2091.2;2082.4;2245.4;2079.0;2074.0;2031.2;4076.4;4077.6;4077.8;4077.4;4076.4;4078.2;4076.0;4077.4
3931.0;2090.8;2041.2;2090.0;2080.6;2246.0;2079.0;2073.2;2028.6;4076.0;4076.6;4076.4;4077.4;4076.8;4076.8;4076.6;4076.0
4013.0;2090.8;2038.8;2089.6;2080.6;2244.8;2078.6;2072.6;2025.6;4076.0;4077.2;4077.8;4076.8;4076.4;4077.0;4076.2;4076.8
4095.0;2090.8;2037.8;2089.4;2080.8;2243.6;2079.0;2073.0;2024.2;4078.0;4077.4;4077.2;4078.0;4077.2;4076.6;4077.0;4076.4
