SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
860.0;28885.8;860.0;21298.8;860.0;22501.0;860.0;20044.0;860.0;19094.4;860.0;19694.2;860.0;19404.6;860.0;21111.4;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0;860.0;65520.0
901.0;29051.2;901.0;20888.4;901.0;21979.4;901.0;18818.0;901.0;18268.0;901.0;18778.6;901.0;18647.4;901.0;20497.2;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0;901.0;65520.0
942.0;29204.0;942.0;20535.8;942.0;21510.6;942.0;18494.0;942.0;17901.0;942.0;18457.0;942.0;18388.2;942.0;20147.6;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0;942.0;65520.0
983.0;29320.4;983.0;20266.4;983.0;21285.2;983.0;18436.2;983.0;17882.0;983.0;18419.0;983.0;18371.0;983.0;19992.2;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0;983.0;65520.0
1024.0;29459.0;1024.0;19962.4;1024.0;20973.4;1024.0;18162.8;1024.0;17247.0;1024.0;18208.0;1024.0;18100.6;1024.0;19678.2;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0;1024.0;65520.0
1065.0;29596.8;1065.0;19521.0;1065.0;20540.0;1065.0;17869.8;1065.0;16953.4;1065.0;17396.0;1065.0;17755.0;1065.0;19228.4;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0;1065.0;65520.0
1106.0;29702.2;1106.0;19103.8;1106.0;20092.0;1106.0;17466.6;1106.0;16559.2;1106.0;17064.0;1106.0;17338.0;1106.0;18882.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0;1106.0;65520.0
1147.0;29799.6;1147.0;18754.8;1147.0;19731.2;1147.0;17063.6;1147.0;16167.0;1147.0;16673.8;1147.0;16940.0;1147.0;18452.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0;1147.0;65520.0
1188.0;29884.0;1188.0;18333.2;1188.0;19289.6;1188.0;16744.4;1188.0;15867.6;1188.0;16287.4;1188.0;16166.0;1188.0;18080.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0;1188.0;65520.0
1228.0;29956.0;1228.0;17896.6;1228.0;18838.4;1228.0;16330.2;1228.0;15474.0;1228.0;15959.8;1228.0;15836.4;1228.0;17224.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0;1228.0;65520.0
1269.0;30026.0;1269.0;17571.0;1269.0;18465.8;1269.0;15783.4;1269.0;14893.0;1269.0;15536.8;1269.0;15427.6;1269.0;16861.6;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0;1269.0;65520.0
