1690550754.3220487,tempb,4077,4076,2067,2066,4077,4075,2070,2073,4076,4074,2068,2078,4074,4075,2069,2074
1690550781.5584867,tempb,4075,4075,2065,2065,4075,4074,2070,2068,4076,4075,2069,2078,4075,4074,2068,2073
1690550808.8578694,tempb,4077,4075,2067,2066,4078,4077,2069,2066,4075,4076,2069,2077,4077,4074,2067,2073
1690550836.0998945,tempb,4077,4078,2066,2067,4076,4077,2071,2069,4076,4076,2069,2080,4076,4076,2069,2073
1690550863.3295815,tempb,4075,4075,2063,2067,4075,4077,2070,2066,4076,4076,2069,2077,4077,4076,2066,2072
1690550890.5636303,tempb,4075,4075,2067,2065,4077,4074,2069,2068,4075,4076,2070,2079,4077,4077,2068,2072
1690550917.8047204,tempb,4078,4075,2065,2065,4076,4075,2067,2066,4077,4077,2069,2077,4076,4076,2067,2070
1690550945.0386908,tempb,4077,4077,2061,2065,4077,4075,2066,2066,4077,4075,2069,2077,4076,4075,2066,2070
1690550972.2721667,tempb,4077,4075,2064,2065,4076,4076,2066,2067,4076,4077,2068,2075,4076,4077,2065,2070
1690550999.5070913,tempb,4076,4078,2065,2063,4076,4078,2067,2066,4078,4076,2071,2076,4076,4076,2066,2067
