Module,Timestamp,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8
stir,1680802590.3205168,8,8,8,8,8,8,8,8
temp,1680802591.3257327,2048,2048,2048,2048,2048,2048,2048,2048
temp,1680802591.3296494,2069,2059,2061,2055,3124,2048,2048,2047
od_led,1680802592.3327057,0,0,0,0,0,0,0,0
od_135,1680802593.3383095,65492,65487,65373,65511,65463,65389,65510,64838
pump,1680802594.3439047,0,0,0,0,0,0,0,0
