Log;Description
log_01-06-23_11:34:54;
log_01-06-23_12:28:24;
log_08-05-23_14:35:06;
log_24-05-23_12:48:38;
log_24-05-23_13:02:35;
log_31-05-23_12:09:12;Teste normal - com SS7 e SS8
log_31-05-23_13:15:33;Teste normal - com cabos de SS7 e SS8 trocados
log_31-05-23_14:22:00;
