time,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8
10:58,8,1,2,3,4,5,6,7
14:13,1,2,3,4,5,6,7,8
14:19,2,3,4,5,6,7,8,1
14:32,4,5,6,7,8,1,2,3
14:40,5,6,7,8,1,2,3,4
14:48,6,7,8,1,2,3,4,5
14:57,7,8,1,2,3,4,5,6
08:41,3,4,5,6,7,8,1,2
