time,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8
11:08:36,0.25,0.44,0.84,--,--,--,--,--
11:10:46,0.44,0.84,0.25,--,--,--,--,--
11:12:40,0.84,0.25,0.44,--,--,--,--,--
11:14:40,--,--,--,0.25,0.44,0.84,--,--
11:16:37,--,--,--,0.44,0.84,0.25,--,--
11:18:56,--,--,--,0.84,0.25,0.44,--,--
11:24:33,--,--,--,--,--,--,0.25,--
11:26:22,--,--,--,--,--,--,0.44,--
11:28:12,--,--,--,--,--,--,0.84,--
11:30:37,--,--,--,--,--,--,--,0.84
11:32:16,--,--,--,--,--,--,--,0.44
11:33:59,--,--,--,--,--,--,--,0.25
