1690564822.105909,tempb,4075,4076,1958,1964,4077,4077,1976,1976,4077,4076,1978,1986,4078,4077,1970,1968
1690564849.3290648,tempb,4078,4074,1959,1965,4076,4077,1974,1975,4077,4076,1981,1986,4075,4077,1969,1967
1690564876.5535688,tempb,4076,4075,1958,1964,4078,4075,1974,1976,4078,4076,1978,1986,4076,4075,1966,1966
1690564903.824887,tempb,4076,4076,1956,1964,4077,4077,1975,1977,4076,4076,1976,1984,4075,4076,1968,1968
1690564931.0544088,tempb,4076,4075,1957,1963,4076,4076,1973,1974,4077,4078,1976,1984,4077,4078,1969,1968
1690564958.2770336,tempb,4076,4077,1958,1962,4076,4077,1972,1975,4077,4076,1977,1983,4077,4075,1968,1967
1690564985.5003026,tempb,4076,4077,1954,1961,4077,4074,1971,1972,4076,4075,1975,1984,4076,4076,1965,1967
1690565012.7300541,tempb,4079,4078,1957,1962,4078,4078,1973,1974,4077,4077,1976,1984,4078,4078,1969,1966
1690565039.9592252,tempb,4077,4074,1953,1960,4076,4075,1971,1971,4075,4077,1977,1980,4076,4077,1966,1965
1690565067.1876428,tempb,4077,4075,1954,1960,4077,4076,1969,1973,4076,4077,1976,1983,4078,4075,1967,1966
