led;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;SS9;SS10;SS11;SS12;SS13;SS14;SS15;SS16
0.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65497.8;64946.6;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
81.9;63698.2;65274.4;62788.2;63751.4;57862.4;64567.2;62601.0;63959.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
163.8;61555.0;64411.0;54887.0;58997.6;44051.2;62388.6;60824.2;63846.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
245.70000000000002;58315.2;63546.2;51246.2;56765.6;34858.4;60451.0;56185.0;62579.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
327.6;55653.0;62672.0;42940.0;51772.6;27650.8;59689.0;54249.8;61941.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
409.5;54570.8;62152.6;38344.0;48995.8;26690.0;56660.0;49756.0;60893.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
491.40000000000003;50373.0;60968.0;31711.4;44789.4;26332.6;55548.8;47270.4;60185.2;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
573.3000000000001;48866.2;60474.4;30123.4;42037.4;24873.0;52949.0;43500.6;59151.4;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
655.2;45266.0;59326.0;28690.4;37937.4;24326.0;51874.0;41058.2;58301.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
737.1;43777.6;58692.4;27691.0;34600.0;23032.2;49358.0;37358.4;57985.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
819.0;40285.2;57742.0;27272.6;32445.0;22298.6;47966.8;34339.0;56425.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
900.9000000000001;38378.0;57138.8;25697.0;27963.0;21229.4;45891.0;32433.2;55488.8;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0;65520.0
