SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
860.0;60022.0;860.0;23659.6;860.0;64039.2;860.0;64478.4;860.0;64992.0;860.0;65200.0;860.0;64215.2;860.0;22547.8;860.0;65502.4;860.0;65503.6;860.0;65505.4;860.0;65507.0;860.0;65505.0;860.0;65503.2;860.0;65507.0;860.0;65505.2
901.0;59747.8;901.0;23289.6;901.0;63948.6;901.0;64342.4;901.0;64968.0;901.0;65170.0;901.0;64086.8;901.0;22121.6;901.0;65503.2;901.0;65502.6;901.0;65504.2;901.0;65505.4;901.0;65503.0;901.0;65504.0;901.0;65507.0;901.0;65503.6
942.0;59474.6;942.0;22823.6;942.0;63894.2;942.0;64334.0;942.0;64948.0;942.0;65165.0;942.0;63986.0;942.0;21714.8;942.0;65504.4;942.0;65503.6;942.0;65504.8;942.0;65503.4;942.0;65506.0;942.0;65503.0;942.0;65507.0;942.0;65503.2
983.0;59268.2;983.0;22364.4;983.0;63907.4;983.0;64347.4;983.0;64914.2;983.0;65162.6;983.0;63863.0;983.0;21390.0;983.0;65505.4;983.0;65504.8;983.0;65506.2;983.0;65506.2;983.0;65505.0;983.0;65507.0;983.0;65507.4;983.0;65504.0
1024.0;58993.4;1024.0;22004.8;1024.0;63860.2;1024.0;64299.2;1024.0;64922.2;1024.0;65201.2;1024.0;63729.0;1024.0;20995.0;1024.0;65504.0;1024.0;65505.6;1024.0;65506.4;1024.0;65505.8;1024.0;65505.8;1024.0;65504.0;1024.0;65509.0;1024.0;65504.0
1065.0;58732.2;1065.0;21555.0;1065.0;63745.8;1065.0;64243.2;1065.0;64927.2;1065.0;65208.6;1065.0;63467.0;1065.0;20623.0;1065.0;65501.4;1065.0;65503.4;1065.0;65505.4;1065.0;65503.8;1065.0;65506.0;1065.0;65502.4;1065.0;65506.0;1065.0;65504.0
1106.0;58513.0;1106.0;21108.2;1106.0;63645.8;1106.0;64178.6;1106.0;64923.2;1106.0;65206.8;1106.0;63355.0;1106.0;19774.0;1106.0;65502.8;1106.0;65501.4;1106.0;65505.4;1106.0;65504.8;1106.0;65506.0;1106.0;65503.6;1106.0;65502.0;1106.0;65505.0
1147.0;58253.0;1147.0;20745.0;1147.0;63580.4;1147.0;64117.6;1147.0;64893.0;1147.0;65199.4;1147.0;63231.0;1147.0;19441.2;1147.0;65503.0;1147.0;65504.4;1147.0;65505.6;1147.0;65505.6;1147.0;65506.0;1147.0;65504.0;1147.0;65505.0;1147.0;65506.0
1188.0;58003.0;1188.0;20313.0;1188.0;63582.4;1188.0;64080.0;1188.0;64893.8;1188.0;65202.2;1188.0;63103.0;1188.0;19083.6;1188.0;65507.0;1188.0;65508.6;1188.0;65504.6;1188.0;65505.8;1188.0;65504.2;1188.0;65504.6;1188.0;65504.2;1188.0;65505.0
1228.0;57484.0;1228.0;19888.0;1228.0;63524.4;1228.0;64072.2;1228.0;64913.2;1228.0;65197.0;1228.0;62996.6;1228.0;18727.8;1228.0;65505.0;1228.0;65503.0;1228.0;65504.4;1228.0;65504.2;1228.0;65502.4;1228.0;65505.0;1228.0;65505.6;1228.0;65505.8
1269.0;57287.2;1269.0;19026.0;1269.0;63606.0;1269.0;64050.2;1269.0;64898.4;1269.0;65187.2;1269.0;62866.8;1269.0;18450.8;1269.0;65502.0;1269.0;65503.0;1269.0;65505.4;1269.0;65501.0;1269.0;65503.2;1269.0;65505.0;1269.0;65505.2;1269.0;65504.4
1310.0;57033.2;1310.0;18682.8;1310.0;63456.0;1310.0;64023.0;1310.0;64891.8;1310.0;65192.2;1310.0;62734.4;1310.0;18058.4;1310.0;65504.0;1310.0;65504.0;1310.0;65503.6;1310.0;65505.6;1310.0;65505.4;1310.0;65505.0;1310.0;65506.2;1310.0;65504.8
1351.0;56778.0;1351.0;18266.6;1351.0;63600.0;1351.0;64126.0;1351.0;64875.6;1351.0;65187.8;1351.0;62627.2;1351.0;17660.6;1351.0;65504.8;1351.0;65506.0;1351.0;65506.0;1351.0;65507.0;1351.0;65505.6;1351.0;65504.6;1351.0;65506.4;1351.0;65504.4
1392.0;56581.2;1392.0;17853.6;1392.0;63253.0;1392.0;63881.0;1392.0;64875.0;1392.0;65185.6;1392.0;62492.4;1392.0;17372.2;1392.0;65508.2;1392.0;65504.4;1392.0;65507.0;1392.0;65503.0;1392.0;65505.0;1392.0;65505.2;1392.0;65506.6;1392.0;65505.2
1433.0;56287.2;1433.0;17516.0;1433.0;63243.4;1433.0;63836.0;1433.0;64863.0;1433.0;65174.6;1433.0;62360.6;1433.0;17022.2;1433.0;65505.0;1433.0;65505.6;1433.0;65505.0;1433.0;65503.0;1433.0;65504.8;1433.0;65506.2;1433.0;65506.2;1433.0;65504.8
1474.0;56002.4;1474.0;17095.8;1474.0;63215.4;1474.0;63808.0;1474.0;64851.0;1474.0;65153.0;1474.0;62261.8;1474.0;16657.0;1474.0;65504.0;1474.0;65498.8;1474.0;65505.0;1474.0;65506.0;1474.0;65503.6;1474.0;65503.2;1474.0;65505.4;1474.0;65504.8
1515.0;55803.6;1515.0;16686.0;1515.0;63154.6;1515.0;63758.6;1515.0;64827.0;1515.0;65184.0;1515.0;62130.2;1515.0;16367.4;1515.0;65503.4;1515.0;65500.6;1515.0;65505.0;1515.0;65505.0;1515.0;65502.0;1515.0;65503.2;1515.0;65503.6;1515.0;65503.6
1556.0;55563.8;1556.0;16363.2;1556.0;63095.4;1556.0;63709.6;1556.0;64833.0;1556.0;65180.0;1556.0;61996.8;1556.0;16030.6;1556.0;65503.0;1556.0;65504.8;1556.0;65504.2;1556.0;65505.0;1556.0;65505.0;1556.0;65500.0;1556.0;65501.2;1556.0;65501.2
1597.0;55327.0;1597.0;15965.2;1597.0;63147.2;1597.0;63778.6;1597.0;64821.8;1597.0;65178.0;1597.0;61892.0;1597.0;15690.2;1597.0;65502.6;1597.0;65505.4;1597.0;65504.8;1597.0;65504.2;1597.0;65507.0;1597.0;65504.0;1597.0;65506.2;1597.0;65503.4
1638.0;55138.4;1638.0;15574.4;1638.0;63170.2;1638.0;63808.8;1638.0;64800.6;1638.0;65167.6;1638.0;61772.0;1638.0;15391.0;1638.0;65502.0;1638.0;65505.0;1638.0;65505.6;1638.0;65507.2;1638.0;65509.0;1638.0;65507.0;1638.0;65507.4;1638.0;65505.2
1679.0;54898.6;1679.0;15263.6;1679.0;63117.8;1679.0;63805.4;1679.0;64797.6;1679.0;65169.8;1679.0;61642.0;1679.0;15093.0;1679.0;65501.6;1679.0;65504.6;1679.0;65505.4;1679.0;65506.2;1679.0;65507.4;1679.0;65506.0;1679.0;65509.0;1679.0;65506.0
1720.0;54653.6;1720.0;14877.2;1720.0;63060.2;1720.0;63765.0;1720.0;64777.6;1720.0;65148.6;1720.0;61368.0;1720.0;14761.0;1720.0;65501.2;1720.0;65504.4;1720.0;65506.2;1720.0;65505.0;1720.0;65505.4;1720.0;65502.0;1720.0;65506.0;1720.0;65506.0
1761.0;54464.0;1761.0;14493.6;1761.0;63047.6;1761.0;63704.6;1761.0;64757.4;1761.0;65138.8;1761.0;61281.6;1761.0;14026.0;1761.0;65502.2;1761.0;65504.4;1761.0;65506.6;1761.0;65505.6;1761.0;65506.6;1761.0;65505.0;1761.0;65507.0;1761.0;65504.0
1802.0;54229.0;1802.0;14188.0;1802.0;63035.4;1802.0;63717.2;1802.0;64757.2;1802.0;65139.0;1802.0;61149.6;1802.0;13762.8;1802.0;65503.2;1802.0;65502.6;1802.0;65506.4;1802.0;65507.2;1802.0;65506.4;1802.0;65504.4;1802.0;65506.0;1802.0;65502.0
1843.0;53990.0;1843.0;13815.0;1843.0;62973.8;1843.0;63714.4;1843.0;64772.4;1843.0;65144.0;1843.0;61042.8;1843.0;13443.4;1843.0;65504.0;1843.0;65504.8;1843.0;65506.2;1843.0;65508.2;1843.0;65506.0;1843.0;65503.4;1843.0;65507.6;1843.0;65505.0
1884.0;53505.0;1884.0;13446.0;1884.0;62999.4;1884.0;63739.0;1884.0;64792.2;1884.0;65144.8;1884.0;60952.8;1884.0;13120.8;1884.0;65506.0;1884.0;65504.0;1884.0;65505.6;1884.0;65507.0;1884.0;65507.2;1884.0;65504.2;1884.0;65507.2;1884.0;65507.4
1925.0;53308.2;1925.0;12712.0;1925.0;62961.0;1925.0;63761.6;1925.0;64797.6;1925.0;65139.0;1925.0;60841.8;1925.0;12863.4;1925.0;65505.0;1925.0;65507.0;1925.0;65507.6;1925.0;65507.2;1925.0;65507.6;1925.0;65505.0;1925.0;65506.2;1925.0;65507.2
1966.0;53083.8;1966.0;12428.8;1966.0;62904.0;1966.0;63740.0;1966.0;64803.8;1966.0;65133.4;1966.0;60724.0;1966.0;12555.6;1966.0;65504.0;1966.0;65505.0;1966.0;65506.2;1966.0;65507.6;1966.0;65507.0;1966.0;65505.8;1966.0;65506.0;1966.0;65507.0
2007.0;52864.8;2007.0;12071.6;2007.0;62836.0;2007.0;63660.0;2007.0;64806.2;2007.0;65133.0;2007.0;60639.6;2007.0;12253.6;2007.0;65504.8;2007.0;65505.0;2007.0;65507.0;2007.0;65505.8;2007.0;65505.8;2007.0;65506.2;2007.0;65505.4;2007.0;65505.2
2048.0;52688.4;2048.0;11728.0;2048.0;62681.0;2048.0;63640.0;2048.0;64805.2;2048.0;65130.8;2048.0;60541.2;2048.0;12010.8;2048.0;65504.2;2048.0;65505.0;2048.0;65505.0;2048.0;65505.0;2048.0;65504.2;2048.0;65505.0;2048.0;65506.2;2048.0;65506.4
2088.0;52465.6;2088.0;11457.2;2088.0;62594.6;2088.0;63441.0;2088.0;64814.0;2088.0;65135.6;2088.0;60435.0;2088.0;11721.4;2088.0;65504.0;2088.0;65505.8;2088.0;65506.0;2088.0;65506.0;2088.0;65505.4;2088.0;65505.0;2088.0;65505.8;2088.0;65507.4
2129.0;52245.2;2129.0;11127.6;2129.0;62712.2;2129.0;63541.8;2129.0;64817.0;2129.0;65126.0;2129.0;60360.2;2129.0;11444.0;2129.0;65504.6;2129.0;65506.0;2129.0;65506.0;2129.0;65505.0;2129.0;65506.8;2129.0;65504.8;2129.0;65506.0;2129.0;65506.6
2170.0;52068.4;2170.0;10793.4;2170.0;62607.0;2170.0;63513.4;2170.0;64812.0;2170.0;65123.0;2170.0;60259.0;2170.0;11213.6;2170.0;65503.8;2170.0;65506.0;2170.0;65506.0;2170.0;65505.0;2170.0;65506.0;2170.0;65504.4;2170.0;65507.8;2170.0;65505.6
2211.0;51849.6;2211.0;10532.2;2211.0;62498.8;2211.0;63459.2;2211.0;64815.0;2211.0;65125.0;2211.0;60167.2;2211.0;10931.2;2211.0;65504.2;2211.0;65504.8;2211.0;65510.0;2211.0;65506.6;2211.0;65508.0;2211.0;65506.0;2211.0;65506.6;2211.0;65506.2
2252.0;51636.6;2252.0;10216.2;2252.0;62514.2;2252.0;63448.4;2252.0;64825.4;2252.0;65131.0;2252.0;60088.0;2252.0;10649.4;2252.0;65504.2;2252.0;65504.0;2252.0;65508.6;2252.0;65506.2;2252.0;65505.0;2252.0;65505.0;2252.0;65509.0;2252.0;65507.0
2293.0;51462.6;2293.0;9896.2;2293.0;62500.6;2293.0;63421.0;2293.0;64782.4;2293.0;65093.4;2293.0;60005.0;2293.0;10431.0;2293.0;65502.6;2293.0;65504.8;2293.0;65509.2;2293.0;65506.0;2293.0;65505.0;2293.0;65507.0;2293.0;65508.4;2293.0;65503.4
2334.0;51242.6;2334.0;9643.6;2334.0;62485.4;2334.0;63417.4;2334.0;64794.2;2334.0;65096.0;2334.0;59878.0;2334.0;10157.0;2334.0;65504.4;2334.0;65506.0;2334.0;65507.0;2334.0;65506.0;2334.0;65505.0;2334.0;65503.0;2334.0;65506.0;2334.0;65504.8
2375.0;51032.6;2375.0;9333.0;2375.0;62442.6;2375.0;63455.8;2375.0;64808.4;2375.0;65089.4;2375.0;59677.0;2375.0;9902.0;2375.0;65507.2;2375.0;65505.6;2375.0;65505.0;2375.0;65505.4;2375.0;65505.0;2375.0;65503.8;2375.0;65508.0;2375.0;65504.0
2416.0;50871.0;2416.0;9030.0;2416.0;62364.4;2416.0;63461.0;2416.0;64813.4;2416.0;65102.0;2416.0;59605.0;2416.0;9354.0;2416.0;65503.8;2416.0;65504.6;2416.0;65506.6;2416.0;65506.8;2416.0;65505.0;2416.0;65505.6;2416.0;65509.0;2416.0;65505.0
2457.0;50669.0;2457.0;8794.0;2457.0;62476.4;2457.0;63453.2;2457.0;64779.4;2457.0;65105.4;2457.0;59517.4;2457.0;9154.0;2457.0;65503.0;2457.0;65503.4;2457.0;65507.8;2457.0;65507.2;2457.0;65504.4;2457.0;65506.0;2457.0;65506.0;2457.0;65504.0
2498.0;50449.0;2498.0;8512.0;2498.0;62691.6;2498.0;63542.8;2498.0;64747.4;2498.0;65103.4;2498.0;59428.0;2498.0;8887.2;2498.0;65503.0;2498.0;65504.6;2498.0;65505.2;2498.0;65504.8;2498.0;65505.2;2498.0;65505.4;2498.0;65502.0;2498.0;65502.0
2539.0;50003.0;2539.0;8221.0;2539.0;62563.4;2539.0;63549.6;2539.0;64727.0;2539.0;65102.6;2539.0;59350.6;2539.0;8638.6;2539.0;65504.0;2539.0;65503.0;2539.0;65504.2;2539.0;65504.2;2539.0;65504.8;2539.0;65504.4;2539.0;65506.6;2539.0;65503.6
2580.0;49874.2;2580.0;7668.0;2580.0;62281.0;2580.0;63350.8;2580.0;64716.4;2580.0;65103.8;2580.0;59263.6;2580.0;8451.4;2580.0;65505.0;2580.0;65505.0;2580.0;65505.2;2580.0;65506.2;2580.0;65505.2;2580.0;65505.2;2580.0;65504.8;2580.0;65505.6
2621.0;49690.8;2621.0;7462.4;2621.0;62387.0;2621.0;63458.0;2621.0;64709.8;2621.0;65103.8;2621.0;59175.6;2621.0;8215.6;2621.0;65508.0;2621.0;65505.0;2621.0;65506.4;2621.0;65507.2;2621.0;65506.2;2621.0;65506.0;2621.0;65504.6;2621.0;65506.8
2662.0;49500.2;2662.0;7198.2;2662.0;62313.0;2662.0;63526.0;2662.0;64700.2;2662.0;65093.0;2662.0;59098.4;2662.0;7976.0;2662.0;65504.0;2662.0;65506.0;2662.0;65508.0;2662.0;65507.4;2662.0;65505.4;2662.0;65505.2;2662.0;65504.4;2662.0;65504.0
2703.0;49343.8;2703.0;6939.4;2703.0;62366.0;2703.0;63335.0;2703.0;64737.4;2703.0;65093.6;2703.0;59011.4;2703.0;7793.6;2703.0;65503.8;2703.0;65506.0;2703.0;65509.0;2703.0;65505.0;2703.0;65506.2;2703.0;65504.8;2703.0;65505.8;2703.0;65503.8
2744.0;49149.8;2744.0;6738.0;2744.0;62490.0;2744.0;63554.0;2744.0;64771.0;2744.0;65094.4;2744.0;58939.6;2744.0;7570.0;2744.0;65504.0;2744.0;65505.2;2744.0;65508.0;2744.0;65506.0;2744.0;65506.8;2744.0;65506.4;2744.0;65507.4;2744.0;65505.6
2785.0;48960.2;2785.0;6490.4;2785.0;62437.8;2785.0;63367.6;2785.0;64768.0;2785.0;65088.0;2785.0;58870.4;2785.0;7331.0;2785.0;65505.2;2785.0;65505.0;2785.0;65506.0;2785.0;65507.0;2785.0;65506.0;2785.0;65507.6;2785.0;65507.6;2785.0;65505.6
2826.0;48818.2;2826.0;6251.0;2826.0;62313.0;2826.0;63370.6;2826.0;64796.0;2826.0;65091.0;2826.0;58756.4;2826.0;7137.6;2826.0;65507.2;2826.0;65506.2;2826.0;65508.4;2826.0;65508.0;2826.0;65506.0;2826.0;65506.8;2826.0;65507.8;2826.0;65505.8
2866.0;48643.2;2866.0;6070.2;2866.0;62141.2;2866.0;63298.2;2866.0;64762.0;2866.0;65083.0;2866.0;58661.2;2866.0;6910.4;2866.0;65508.6;2866.0;65507.6;2866.0;65508.2;2866.0;65507.2;2866.0;65505.0;2866.0;65510.0;2866.0;65508.6;2866.0;65506.6
2907.0;48459.0;2907.0;5847.6;2907.0;62214.4;2907.0;63390.4;2907.0;64759.6;2907.0;65076.0;2907.0;58594.0;2907.0;6705.0;2907.0;65507.4;2907.0;65506.2;2907.0;65506.4;2907.0;65505.4;2907.0;65510.0;2907.0;65506.0;2907.0;65507.0;2907.0;65506.2
